patent_id,filing_date,publication_date,priority_date,assignee,inventors,docdb_family_id,tags,title,abstract,claims,filename,ipc_classes,ipc_classes_list,ipc_classes_list_,title_abstract,ipc_classes_string
US10275662_B1,2016-09-30,2019-04-30,2016-09-30,ZOOX,"ASKELAND, JACOB LEE",66248243,road monitoring,estimating friction based on image data,"A friction estimation system for estimating friction-related data associated with a surface on which a vehicle travels, may include a camera array including a plurality of imagers configured to capture image data associated with a surface on which a vehicle travels. The image data may include light data associated with the surface. The friction estimation system may also include an image interpreter in communication with the camera array and configured to receive the image data from the camera array and determine friction-related data associated with the surface based, at least in part, on the image data. The image interpreter may be configured to be in communication with a vehicle control system and provide the friction-related data to the vehicle control system.","1. A friction estimation system for estimating friction-related data associated with a surface on which a vehicle travels, the friction estimation system comprising: a camera array comprising a plurality of imagers configured to capture image data associated with a surface on which a vehicle travels; an image interpreter in communication with the camera array and configured to receive the image data from the camera array and determine friction-related data associated with the surface based, at least in part, on the image data, the image interpreter being configured to be in communication with a vehicle control system and provide the friction-related data to the vehicle control system; a location sensor, an output of which comprises a location of the vehicle; and one or more processors configured to associate, based at least in part on the location, the friction-related data with a map accessible to the vehicle.2. The friction estimation system of claim 1, wherein the image data comprises at least one of image depth profile data associated with the surface or texture data associated with the surface.3. The friction estimation system of claim 1, wherein the friction-related data comprises a friction coefficient between the surface and one or more tires of the vehicle.4. The friction estimation system of claim 1, wherein the one or more processors are configured to provide a correlation between the image data and the friction-related data, and wherein the correlation between image data and friction-related data comprises at least one of a correlation table correlating image data and friction-related data, or a mathematical relationship between image data and friction-related data.5. The friction estimation system of claim 1, wherein the one or more processors are configured to provide a correlation between the image data and the friction-related data, and wherein the one or more processors are configured to update the correlation between the image data and the friction-related data based on measured correlations between the image data and sensed traction events between the vehicle tires and surfaces on which the vehicle has travelled.6. The friction estimation system of claim 1, wherein the one or more processors are configured to provide a correlation between the image data and the friction-related data, and wherein the correlation comprises a correlation between the image data and a material from which the surface is made, and a correlation between the material and the friction-related data.7. The friction estimation system of claim 1, wherein the one or more processors are configured to provide a correlation between the image data and the friction-related data, and wherein the one or more processors are configured to receive the location of the vehicle and update the correlation between the image data and the friction-related data based, at least in part, on the location of the vehicle.8. The friction estimation system of claim 1, further comprising a transmitter in communication with a network and configured to communicate data correlating the location of the vehicle and the friction-related data via the network.9. The friction estimation system of claim 1, further comprising a receiver in communication with a network and configured to receive updates relating to a correlation between the image data and friction-related data.10. A vehicle control system for controlling a vehicle, the vehicle control system comprising: a friction estimation system for estimating friction-related data associated with a surface on which a vehicle travels, the friction estimation system comprising: a camera array configured to capture image data associated with the surface on which the vehicle travels; and an image interpreter in communication with the camera array and configured to receive the image data from the camera array and to determine friction-related data associated with the surface based, at least in part, on the image data; a transmitter in communication with a network; and a drive system in communication with the friction estimation system and configured to control maneuvering of the vehicle, the drive system comprising at least one of: a vehicle propulsion system configured to propel the vehicle on the surface, a vehicle steering system configured to alter a direction of travel of the vehicle, or a vehicle braking system configured to reduce a speed of travel of the vehicle, wherein the drive system is configured to receive the friction-related data from one or more of the friction estimation system or the network and control maneuvering of the vehicle based, at least in part, on the friction-related data.11. The vehicle control system of claim 10, wherein the image data comprises at least one of image depth profile data associated with the surface or texture data associated with the surface.12. The vehicle control system of claim 10, wherein the friction-related data comprises a friction coefficient between the surface and one or more tires of the vehicle.13. The vehicle control system of claim 10, wherein the drive system comprises a vehicle propulsion system configured to propel the vehicle on the surface, and wherein the drive system is configured to receive the friction-related data from the friction estimation system and alter propulsion of the vehicle based, at least in part, on the friction-related data.14. The vehicle control system of claim 10, wherein the drive system comprises a vehicle steering system configured to alter a direction of travel of the vehicle, and wherein the drive system is configured to receive the friction-related data from the friction estimation system and alter a steering angle of the steering system based, at least in part, on the friction-related data.15. The vehicle control system of claim 10, wherein the drive system comprises a vehicle braking system configured to reduce a speed of travel of the vehicle, and wherein the drive system is configured to receive the friction-related data from the friction estimation system and alter a rate of deceleration of the vehicle based, at least in part, on the friction-related data.16. The vehicle control system of claim 10, wherein the drive system further comprises a ride control system configured to control compliance of suspension of the vehicle, and wherein the ride control system is configured to control the compliance based, at least in part, on at least one of the image data or friction-related data.17. The vehicle control system of claim 10, wherein the friction estimation system further comprises one or more processors in communication with the image interpreter and configured to provide a correlation between image data and friction-related data.18. The vehicle control system of claim 17, wherein the drive system further comprises at least one of: a traction control system configured to alter output of the propulsion system based, at least in part, on sensing slip between one or more tires of the vehicle and the surface; a stability control system configured to selectively control rotation of one or more tires of the vehicle based, at least in part, on sensing slip between one or more of the tires during turning of the vehicle; or an anti-lock braking control system configured to prevent one or more tires of the vehicle from ceasing rotation during braking of the vehicle, wherein the one or more processors are configured to: update the correlation between the image data and the friction-related data based on correlations between the image data and traction events sensed by at least one of the traction control system, the stability control system, or the anti-lock braking control system; and transmit, via the network, the updated correlation data to one or more of a second vehicle or a server.19. The vehicle control system of claim 10, further comprising a safety system configured to protect at least one of objects outside the vehicle from collisions with the vehicle, or occupants inside the vehicle during collisions, and wherein the vehicle control system is configured to alter operation of the safety system based, at least in part, on the friction-related data.20. A method for estimating friction-related data associated with a surface on which a vehicle travels, the method comprising: obtaining image data associated with the surface via a camera array comprising a plurality of imagers; correlating the image data with material data associated with a material of the surface; correlating the material data with friction-related data; estimating the friction-related data based, at least in part, on the correlation between the material data and the friction-related data; and transmitting, via a network, data correlating a location of the vehicle and the friction-related data to one or more of a second vehicle or a server.21. The method of claim 20, wherein the image data comprises at least one of image depth profile data associated with the surface or texture data associated with the surface, and wherein the method further comprises estimating the friction-related data by at least one of analyzing the image depth profile data using machine learning procedures or analyzing the texture data using multi-channel filtering techniques.22. The method of claim 20, wherein the friction-related data comprises a friction coefficient between the surface and one or more tires of the vehicle.23. The method of claim 20, wherein correlating the image data with the material data associated with the material of the surface comprises obtaining the correlation from at least one of a correlation table correlating the image data and the material data, or a mathematical relationship between the image data and the material data.24. The method of claim 20, further comprising updating the correlation between the image data and the friction-related data based on measured correlations between the image data and sensed traction events between the vehicle tires and surfaces on which the vehicle has travelled.25. The method of claim 20, further comprising updating the correlation between the image data and the friction-related data based, at least in part, on location data associated with a location of the vehicle.26. The method of claim 20, further comprising receiving updates relating to correlations between the image data and the friction-related data via the network.27. The method of claim 20, further comprising: receiving, via the network, second friction-related data associated with a second location; and controlling maneuvering of the vehicle at the second location based, at least in part, on the second friction-related data, wherein controlling maneuvering of the vehicle comprises at least one of: altering propulsion of the vehicle based, at least in part, on the second friction-related data, altering a steering angle of a steering system associated with the vehicle based, at least in part, on the second friction-related data, altering a rate of deceleration of the vehicle based, at least in part, on the second friction-related data, or altering operation of a safety system based, at least in part, on the second friction-related data, wherein the safety system is configured to protect at least one of objects outside the vehicle from collisions with the vehicle, or occupants inside the vehicle during collisions.28. The method of claim 20, further comprising updating the correlation between the image data and the friction-related data based on correlations between the image data and traction events sensed by at least one of a traction control system associated with the vehicle, a stability control system associated with the vehicle, or an anti-lock braking control system associated with the vehicle.",US10275662_B1.txt,"G06K9/00,G06K9/52,G06T7/00,G06T7/40,H04N5/247","{'electric communication technique', 'computing; calculating; counting'}","['graphical data reading (image or video recognition or understanding g06v); presentation of data; record carriers; handling record carriers', 'graphical data reading (image or video recognition or understanding g06v); presentation of data; record carriers; handling record carriers', 'image data processing or generation, in general', 'image data processing or generation, in general', 'pictorial communication, e.g. television']","estimating friction based on image data A friction estimation system for estimating friction-related data associated with a surface on which a vehicle travels, may include a camera array including a plurality of imagers configured to capture image data associated with a surface on which a vehicle travels. The image data may include light data associated with the surface. The friction estimation system may also include an image interpreter in communication with the camera array and configured to receive the image data from the camera array and determine friction-related data associated with the surface based, at least in part, on the image data. The image interpreter may be configured to be in communication with a vehicle control system and provide the friction-related data to the vehicle control system.",electric communication technique computing; calculating; counting
US10825183_B2,2018-08-21,2020-11-03,2017-09-26,BOE TECHNOLOGY GROUP COMPANY,"HAN YANGDU, HUIYANG QIJIN, HAILAN",61047740,road monitoring,analyzing and processing method and device for a road,"The present disclosure provides an analyzing and processing method and device for a road. In the analyzing and processing method for a road provided by the present disclosure, a slope value of a ground surface is obtained and image data of the ground surface is collected, and then the image data is analyzed and processed by using a pre-trained landform analysis model, so as to determine a landform type corresponding to the image data. A traveling condition is then determined based on the slope value of the ground surface and the landform type, and command information is generated according to the traveling conditions.","1. An analyzing and processing method for a road, comprising: obtaining a slope value of a ground surface and collecting image data of the ground surface; determining a landform type corresponding to the image data, wherein determining the landform type corresponding to the image data comprises analyzing and processing the image data by using a pre-trained landform analysis model, wherein training the pre-trained landform analysis model comprises: selecting a set of image data containing a landform type label as a training sample; using an edge-based image segmentation method to segment the image data in the training sample into sky and earth; using a region-based image segmentation method to divide the earth in the image data into a plurality of regions; extracting texture information of each of the plurality of regions to determine the landform type; and establishing a correspondence relationship between the image data and the landform type by machine learning; determining a traveling condition according to the slope value of the ground surface and the landform type, wherein the traveling condition comprises a traveling condition suitable for running a horse, a traveling condition suitable for riding the horse slowly, and a traveling condition suitable for dismounting from the horse and leading the horse; and generating command information according to the traveling condition, wherein the command information is configured to adjust a movement status of the horse.2. The method according to claim 1, wherein determining the traveling condition according to the slope value of the ground surface and the landform type comprises: determining a slope type of the ground surface according to the slope value, wherein the slope type comprises downhill, flat road and uphill; and determining the traveling condition according to the slope type and the landform type.3. The method according to claim 2, wherein the determining the slope type of the ground surface according to the slope value comprises: determining that the slope type of the ground surface is downhill, when the slope value is less than a first threshold slope; and determining that the slope type of the ground surface is the flat road, when the slope value is greater than or equal to the first threshold slope, and less than or equal to a second threshold slope; and determining that the slope type of the ground surface is uphill, when the slope value is greater than the second threshold slope.4. The method according to claim 2, wherein the determining the traveling condition according to the slope type and the landform type comprises: determining that the traveling condition is suitable for dismounting from the horse and leading the horse, when the slope type is downhill; determining that the traveling condition is suitable for riding the horse slowly, when the slope type is uphill; determining that the travelling condition is suitable for running the horse, when the slope type is the flat road and the landform type is grassland or sand land; and determining that the traveling condition is suitable for riding the horse slowly, when the slope type is the flat road, and the landform type is not grassland or sand land.5. The method according to claim 1, wherein generating the command information according to the traveling condition comprises: displaying an indicator lamp having a corresponding color according to the traveling condition, to prompt a rider to adjust the movement status of the horse; and issuing a standard voice command to the horse by a speaker, and applying an electric stimulus command to the horse to adjust the movement status of the horse, according to the traveling condition.6. The method according to claim 1, wherein generating the command information according to the traveling condition comprises: displaying an indicator lamp having a corresponding color according to the traveling condition, to prompt a rider to adjust the movement status of the horse; and applying an electric stimulus command to the horse to adjust the movement status of the horse, according to the traveling condition.7. The method according to claim 1, wherein generating the command information according to the traveling condition comprises: issuing a standard voice command to the horse by a speaker, and applying an electric stimulus command to the horse to adjust the movement status of the horse, according to the traveling condition.8. The method according to claim 1, wherein generating the command information according to the traveling condition comprises: applying an electric stimulus command to the horse to adjust the movement status of the horse, according to the traveling condition.9. The method according to claim 1, wherein before the command information is generated according to the traveling condition, the method further comprises: collecting a human command given by a rider to the horse, wherein the human command comprises a human voice command, and the human voice command comprises a standard voice command and a non-standard voice command; generating the command information according to the traveling condition comprises: when the human voice command is the non-standard voice command, and the human voice command is appropriate for the traveling condition, transforming the non-standard voice command into the standard voice command having the same meaning by using a pre-trained voice understanding model, and playing the standard voice command by a speaker; when the human voice command is the standard voice command, and the human voice command is not appropriate for the traveling condition, regenerating command information appropriate for the traveling condition according to the traveling condition.10. The method according to claim 1, wherein obtaining the slope value of the ground surface comprises: determining the slope value of the ground surface according to a distance between an image collector and the ground surface; or determining the slope value of the ground surface according to acceleration of the image collector in a direction perpendicular to the ground surface; wherein the image collector is provided on a helmet of a rider and is facing a moving direction.11. The method according to claim 1, wherein obtaining the slope value of the ground surface comprises: determining the slope value of the ground surface according to acceleration of a image collector in a direction perpendicular to the ground surface; wherein the image collector is provided on a helmet of a rider and is facing a moving direction.12. An analyzing and processing device for a road, applied to horse riding, the device being provided on a helmet of a rider, and comprising: a data obtaining module comprising an image collector and configured to obtain a slope value of a ground surface and collect image data of the ground surface; an analysis and processing module comprising a processor and configured to analyze and process the image data by using a pre-trained landform analysis model, to determine a landform type corresponding to the image data, wherein training the pre-trained landform analysis model comprises: selecting a set of image data containing a landform type label as a training sample; using an edge-based image segmentation method to segment the image data in the training sample into sky and earth; using a region-based image segmentation method to divide the earth in the image data into a plurality of regions; extracting texture information of each of the plurality of regions to determine the landform type; and establishing a correspondence relationship between the image data and the landform type by machine learning; a road condition recognition module comprising an information processor configured to determine a traveling condition according to the slope value of the ground surface and the landform type, wherein the traveling condition comprises a traveling condition suitable for running a horse, a traveling condition suitable for riding the horse slowly, and a traveling condition suitable for dismounting from the horse and leading the horse; and a main control module comprising a computer chip and configured to generate command information according to the traveling condition, wherein the command information is configured to adjust a movement status of the horse.13. An analyzing and processing system for a road, applied to horse riding, comprising a helmet, a speaker, and an electric stimulus device, wherein the helmet is worn on a head of a rider, and the speaker and the electric stimulus device are disposed on a body of a horse, the helmet comprises an image collector, a pickup, and an information processing device, the image collector is configured to obtain a slope value of a ground surface and collect image data of the ground surface, the pickup is configured to receive a human voice command given by the rider, the information processing device is configured to analyze and process the image data by using a pre-trained landform analysis model, to determine a landform type corresponding to the image data, and determine a traveling condition according to the slope value of the ground surface and the landform type, generate command information according to the traveling condition, wherein the command information comprises a standard voice command and an electric stimulus command for adjusting a movement status of the horse; the speaker is configured to perform the standard voice command on the horse; the electric stimulus device is configured to execute the electric stimulus command on horse; and the image collector, the pickup, the speaker, and the electric stimulus device are all in communication connection with the information processing device.",US10825183_B2.txt,"G06K9/00,G06T7/11,G06T7/12,G06T7/13,G06T7/149,G06T7/64",{'computing; calculating; counting'},"['graphical data reading (image or video recognition or understanding g06v); presentation of data; record carriers; handling record carriers', 'image data processing or generation, in general', 'image data processing or generation, in general', 'image data processing or generation, in general', 'image data processing or generation, in general', 'image data processing or generation, in general']","analyzing and processing method and device for a road The present disclosure provides an analyzing and processing method and device for a road. In the analyzing and processing method for a road provided by the present disclosure, a slope value of a ground surface is obtained and image data of the ground surface is collected, and then the image data is analyzed and processed by using a pre-trained landform analysis model, so as to determine a landform type corresponding to the image data. A traveling condition is then determined based on the slope value of the ground surface and the landform type, and command information is generated according to the traveling conditions.",computing; calculating; counting
WO2019043406_A1,2018-08-31,2019-03-07,2017-08-31,CALIPSA,"GAO, JIAMENGPLOIX, BORIS",60050552,anomaly detection,anomaly detection from video data from surveillance cameras,"The present invention relates to object orientated data analysis. More particularly, the present invention relates to analysis of objects within video data from surveillance cameras. According to a first aspect, there is provided a method of detecting anomalous behaviour, the method comprising the steps of: receiving a first set of input data, comprising one or more digital image frames; generating a statistical model based on the first set of input data, the statistical model operable to detect one or more objects within the first set of input data; analysing a second set of input data with respect to the statistical model; and detecting one or more objects within the second set of input data.","A method of detecting anomalous behaviour, the method comprising the steps of: receiving a first set of input data, comprising one or more digital image frames;generating a statistical model based on the first set of input data, the statistical model operable to detect one or more objects within the first set of input data;analysing a second set of input data with respect to the statistical model; and detecting one or more objects within the second set of input data.A method as claimed in claim 1 , wherein the first and/or second set of input data comprises one or more digital videos, formed from the one or more digital image frames.A method as claimed in any one of claims 1 or 2, wherein the one or more digital videos are recorded from one or more surveillance cameras.A method as claimed in any preceding claim, wherein the generation of the statistical model is performed using one or more of: Convolutional Neural Networks (CNNs); Deep Convolutional Networks; Recurrent Neural Networks; Reinforced Learning; Scale-Invariant Feature Transform (SIFT) features, and/or optical flow feature vectors.A method as claimed in any preceding claim, further comprising the steps of:analysing the first set of input data through one or more filters; andobtaining one or more filter outputs.A method as claimed in claim 5, wherein the generation of the statistical model comprises the use of the one or more filter outputs.A method as claimed in any one of claims 5 or 6, wherein the one or more filters comprise one or more of: Convolutional Neural Networks (CNNs); Deep Convolutional Networks; Recurrent Neural Networks; Reinforced Learning; ScaleInvariant Feature Transform (SIFT) features, and/or optical flow feature vectors. A method as claimed in any preceding claim, wherein the one or more objects comprise one or more of: vehicles; human beings; animals; plants; buildings; and/or weather formations.A method as claimed in any preceding claim, wherein the statistical model is operable to track one or more objects in the first and/or second set of input data.A method as claimed in any preceding claim, wherein the statistical model is operable detect anomalous objects in the first and/or second set of input data.A method as claimed in any preceding claim, wherein the analysis of the second set of input data is unsupervised.A method as claimed in any preceding claim, wherein the analysis of the second set of input data occurs in real time.An apparatus for detecting anomalous behaviour, comprising:means for receiving a first set of input data, comprising one or more digital image frames;means for generating a statistical model based on the first set of input data, the statistical model operable to detect one or more objects within the first set of input data;means for analysing a second set of input data with respect to the statistical model; andmeans for detecting one or more objects within the second set of input data.A system operable to perform the method of any one of claims 1 to 12.A computer program product operable to perform the method and/or apparatus and/or system of any preceding claim.",WO2019043406_A1.txt,G06K9/00,{'computing; calculating; counting'},['graphical data reading (image or video recognition or understanding g06v); presentation of data; record carriers; handling record carriers'],"anomaly detection from video data from surveillance cameras The present invention relates to object orientated data analysis. More particularly, the present invention relates to analysis of objects within video data from surveillance cameras. According to a first aspect, there is provided a method of detecting anomalous behaviour, the method comprising the steps of: receiving a first set of input data, comprising one or more digital image frames; generating a statistical model based on the first set of input data, the statistical model operable to detect one or more objects within the first set of input data; analysing a second set of input data with respect to the statistical model; and detecting one or more objects within the second set of input data.",computing; calculating; counting
US2009268947_A1,2009-03-31,2009-10-29,2008-03-31,"HARMAN BECKER AUTOMOTIVE SYSTEMSSCHAUFLER, ROLAND","SCHAUFLER, ROLAND",40225267,road monitoring,real time environment model generation system,"A vehicle environment monitoring system is provided that is based on a three-dimensional vector model. The three-dimensional vector model of the vehicle's environment is generated on the basis of the image data captured by at least one three-dimensional camera. Out of the image data, particular data are extracted for generating the three-dimensional vector model in order to reduce the data volume. For data extraction, a data extraction algorithm is applied that is determined in accordance with at least one parameter that relates to the situation of the vehicle. Therefore, targeted data extraction is performed for generating a three-dimensional model that is particularly adapted for an application that is desired in the current vehicle situation. The applications of the vector model include driver assistance, external monitoring and vehicle control, as well as recording in an event data recorder. In one implementation, a sequence of three-dimensional vector models, representing a three-dimensional space-and-time model, is generated.","1. A method of monitoring the environment of a camera-equipped vehicle, comprising the steps of: capturing a 3D-image of the environment of the vehicle, the 3D-image representing a predetermined area of the vehicle environment; reducing the amount of information acquired in said image capturing step by extracting data from said 3D-image employing a data extraction algorithm; and generating a 3D-vector model of the vehicle environment from said data extracted from said 3D-image characterized by the step of: determining the data extraction algorithm to be employed in said reducing step based on at least one parameter characterizing the vehicle situation.2. The method of claim 1, where said extraction algorithm determining step determines the data extraction algorithm to be adapted according to the processing time available for generating the 3D-vector model.3. The method of claim 1, where said extraction algorithm determining step determines the data extraction algorithm to be adapted according to information reflected in the 3D-vector model.4. The method of claim 1, where said data extraction algorithm includes object recognition.5. (canceled)6. The method of claim 1, where said data extraction algorithm extracts data only from a part of the 3D-image corresponding to a certain visual field.7. The method of claim 1, further comprising the step of further processing said 3D-vector model for assisting a driver in controlling the vehicle based on the processing result.8. The method of claim 7, where said extraction algorithm determining step includes the step of determining a maximum available amount of time for performing said steps of generating and further processing said 3D-vector model based on the vehicle situation and further takes into account said maximum available amount of time to determine said data extraction algorithm.9. (canceled)10. The method of claim 9, where said extraction algorithm determining step includes the step of determining a maximum amount of data to be extracted in correspondence with said maximum amount of time.11. The method of claim 10, where said extraction algorithm determining step further includes the step of determining priorities for different kinds of data that can be extracted from said 3D-image based on the particular relevance of different kinds of data in the vehicle situation characterized by said at least one parameter.12. The method of claim 1, where said extraction algorithm determining step further includes the step of analyzing the vehicle situation based on the captured 3D-image, where a value of said at least one parameter is obtained from said analyzing step.13. The method of claim 1, further comprising the step of detecting vehicle status information, where the detected vehicle status information includes a value of said at least one parameter.14. The method of claim 13, where said vehicle status information includes velocity information of said vehicle, and where the size of the visual field from which said data extraction algorithm extracts data decreases as the velocity of the vehicle increases.15. (canceled)16. (canceled)17. The method of claim 1, where said extraction algorithm determining step includes the step of selecting a particular data extraction algorithm out of a plurality of data extraction algorithms based on a parameter describing the vehicle situation.18. The method of claim 1, where said 3D-vector model represents objects in the environment of the vehicle by vectors and object classification information, said object classification information associates an object with standard object classes of an object model.19. The method of claim 18, where said object model is pre-stored in a database containing standard information of such objects that are most likely to occur and most relevant to the vehicle's environment.20. (canceled)21. The method of claim 1, further comprising the step of: generating a 3D-space-and-time model, where said 3D-space-and-time model includes a sequence of 3D-vector models.22. (canceled)23. The method of claim 21, further comprising the step of generating a response to the information of the vehicle environment represented by said 3D-space-and-time model.24. The method of claim 23, where said response beg is directed towards avoiding an emergency situation to be expected by a driver.25. (canceled)26. (canceled)27. The method of claim 24, where said response includes an automatic interference with the vehicle control.28. The method of claim 23, where said response is directed towards assisting a driver in parking the vehicle.29. The method of claim 23, where said response includes taking countermeasures to minimize the consequences of a threatening accident.30. (canceled)31. The method of claim 1, where said image capturing step captures a plurality of 3D-images from various camera positions, where said plurality of 3D-images re-present an environment area including a predetermined range around the vehice.32. (canceled)33. The method of claim 1, where said 3D-vector model generating step further employs data from sensors.34. The method of claim 33, further comprising the step of sensor fusion to transform sensor data into a unique format and remove inconsistent and/or redundant data.35. (canceled)36. The method of claim 1, further comprising the step of transmitting the 3D vector model to an external location with respect to said vehicle.37. (canceled)38. The method of claim 36, where said 3D-vector model is transmitted via a wireless communication.39. The method of claim 36, where said 3D-vector model is transmitted to and visualized on an external computer.40. The method of claim 36, further comprising the step of evaluating said 3D-vector model at an external computer.41. The method of claim 40, further comprising the step of re-transmitting results of said evaluation back to the vehicle.42. The method of claim 40, further comprising the step of remotely controlling the vehicle by employing the evaluation results.43. (canceled)44. The method of claim 36, where said transmitting step transmits a sequence of 3D-vector models representing a 3D-space-and-time model.45. The method of claim 1, further comprising the step of saving the 3D-vector model in an event data recorder.46. The method of claim 45, further comprising the steps of: generating a sequence of 3D-vector models during a predetermined period of time; and saving said sequence of 3D-vector models into the event data recorder.47. The method of claim 46, further comprising the step of associating the 3D-vector models with time stamps before saving into the event data recorder.48. The method of claim 47, where the 3D-vector models are saved for a predetermined storing time; the method further comprising the step of detecting an impact caused by an extraordinary event, where the 3D-vector models remain permanently saved upon said detection of an impact.49. The method of claim 48, where said 3D-vector models are stored in a cyclic storage having a predetermined storage capacity; the method further comprising the step of cyclically overwriting stored 3D-vector models having the earliest time stamp, until said detection of au impact.50. An environment monitoring device for monitoring the environment of a vehicle, comprising: a 3D-camera for capturing an image of the environment of the vehicle, the image representing a predetermined area of the vehicle environment; and a first processing unit for processing the information acquired by said 3D-camera, said first processing unit including: a data extracting unit for extracting data from said image by employing a data extraction algorithm; and a model generation unit for generating a 3D-vector model of the vehicle environment from said data extracted from said image; characterized in that said first processing unit further includes a determining unit for determining the data extraction algorithm to be employed by said data extracting unit based on at least one parameter characterizing the vehicle situation.51. The environment monitoring device of claim 50, where said determining unit determines the data extraction algorithm to be adapted according to the processing time available for generating the 3D-vector model.52. The environment monitoring device of claim 50, where said determining unit determines the data extraction algorithm to be adapted according to information reflected in the 3D-vector model.53. The environment monitoring device of claim 50, where said data extraction algorithm includes object recognition.54. (canceled)55. The environment monitoring device of claim 50, where said data extraction algorithm extract data only from a part of the image corresponding to a certain visual field.56. The environment monitoring device of claim 50, further comprising a second processing unit for further processing said 3D-vector model for assisting a driver in controlling the vehicle based on the processing result.57. The environment monitoring device of claim 56, where said determining units determines a maximum available amount of time for generating and further processing said 3D-vector model based on the vehicle situation, and further takes into account said maximum available amount of time for determining said data extraction algorithm.58. (canceled)59. The environment monitoring device of claim 58, where said determining unit determines a maximum amount of data to be extracted in correspondence with said maximum amount of time.60. The environment monitoring device of claim 59, where said determining unit further determines priorities for different kinds of data that can be extracted from said image based on the particular relevance of different kinds of data in the vehicle situation characterized by said at least one parameter.61. The environment monitoring device of claim 50, where said determining unit further analyzes the vehicle situation based on the captured image for obtaining a value of said at least one parameter.62. The environment monitoring device of claim 50, further comprising a detector for detecting vehicle status information, where the detected vehicle status information includes a value of said at least one parameter.63. The environment monitoring device of claim 62, where said vehicle status information includes velocity information of said vehicle, and where the size of the visual field from which said data extraction algorithm extracts data decreases as the velocity of the vehicle is increases.64. (canceled)65. (canceled)66. The environment monitoring device of claim 50, where said determining unit selects a particular data extraction algorithm out of a plurality of data extraction algorithms based on a parameter describing the vehicle situation.67. The environment monitoring device of claim 50, where said 3D-vector model represents objects in the environment of the vehicle by vectors and object classification information, said object classification information associates an object with standard object classes of an object model.68. The environment monitoring device of claim 67, further comprising a database for pre-storing said object model.69. The environment monitoring device of claim 67, where said extraction algorithm obtains object classification information from the image.70. The environment monitoring device of claim 50, where said model generation unit generates a 3D-space-and-time model that includes a sequence of 3D-vector models.71. (canceled)72. The environment monitoring device of claim 70, further comprising a second processing unit for generating a response to the information of the vehicle environment represented by said 3D-space-and-time model.73. The environment monitoring device of claim 72, where said response is directed towards avoiding an emergency situation to be expected by a driver.74. The environment monitoring device of claim 73, further comprising a device for notifying a driver of an expected emergency situation based on the response generated by said second processing unit.75. The environment monitoring device of claim 73, further comprising a device for assisting a driver to avoid an emergency situation based on the response generated by said second processing unit.76. The environment monitoring device of claim 75, where said device is a controller for automatically interfering with the vehicle control based on the response generated by said second processing unit.77. The environment monitoring device of claim 72, where said response is directed towards assisting a driver in parking the vehicle.78. The environment monitoring device of claim 72, further comprising a controller for taking countermeasures to minimize the consequences of a threatening accident based on the response generated by said second processing unit.79. (canceled)80. The environment monitoring device of claim 50, comprising a plurality of 3D cameras for capturing images from various camera positions, where the images captured by said plurality of 3D-cameras representing an environment area include a predetermined range around the vehicle.81. (canceled)82. The environment monitoring device of claim 50, further comprising sensors, where said model generation unit further employs data from said sensors for generating said 3D-vector model.83. The environment monitoring device of claim 82, further comprising a sensor fusion unit for transforming sensor data into a unique format and removing inconsistent and/or redundant data.84. (canceled)85. The environment monitoring device of claim 50, further comprising a transmitter for transmitting the 3D-vector model to an external location with respect to said vehicle.86. (canceled)87. The environment monitoring device of claim 85, where said transmitter transmits said 3D-vector model via wireless communication.88. The environment monitoring device of claim 85, where said transmitter transmits said 3D-vector model for visualizing on an external computer.89. The environment monitoring device of claim 85, where said transmitter transmits said 3D-vector model for evaluating at an external computer.90. The environment monitoring device of claim 89, further comprising receiving unit for receiving results of said evaluation transmitted back to the vehicle.91. The environment monitoring device of claim 89, further comprising a controller for controlling the vehicle by employing the evaluation results received from the external computer.92. (canceled)93. The environment monitoring device of claim 85, where said transmitter transmits a sequence of 3D-vector models representing a 3D-space-and-time model.94. The environment monitoring device of claim 50, further comprising an event data recorder for saving the 3D-vector model.95. The environment monitoring device of claim 94, where said model generation unit generates a sequence of 3D-vector models during a predetermined period of time, and where said sequence of 3D-vector models is saved into the event data recorder.96. The environment monitoring device of claim 95, where the 3D-vector models are associated with time stamps before saving.97. The environment monitoring device of claim 96, further comprising an impact detector for detecting an impact caused by an extraordinary event, where the 3D-vector models are saved in the event data recorder for a predetermined storing time and the 3D-vector models remain permanently saved when an impact is detected by said impact detector.98. (canceled)",US2009268947_A1.txt,G06K9/00,{'computing; calculating; counting'},['graphical data reading (image or video recognition or understanding g06v); presentation of data; record carriers; handling record carriers'],"real time environment model generation system A vehicle environment monitoring system is provided that is based on a three-dimensional vector model. The three-dimensional vector model of the vehicle's environment is generated on the basis of the image data captured by at least one three-dimensional camera. Out of the image data, particular data are extracted for generating the three-dimensional vector model in order to reduce the data volume. For data extraction, a data extraction algorithm is applied that is determined in accordance with at least one parameter that relates to the situation of the vehicle. Therefore, targeted data extraction is performed for generating a three-dimensional model that is particularly adapted for an application that is desired in the current vehicle situation. The applications of the vector model include driver assistance, external monitoring and vehicle control, as well as recording in an event data recorder. In one implementation, a sequence of three-dimensional vector models, representing a three-dimensional space-and-time model, is generated.",computing; calculating; counting
